season,constructorId,name,nationality
2010,ferrari,Ferrari,Italian
2010,force_india,Force India,Indian
2010,hrt,HRT,Spanish
2010,lotus_racing,Lotus,Malaysian
2010,mclaren,McLaren,British
2010,mercedes,Mercedes,German
2010,red_bull,Red Bull,Austrian
2010,renault,Renault,French
2010,sauber,Sauber,Swiss
2010,toro_rosso,Toro Rosso,Italian
2010,virgin,Virgin,British
2010,williams,Williams,British
2011,ferrari,Ferrari,Italian
2011,force_india,Force India,Indian
2011,hrt,HRT,Spanish
2011,lotus_racing,Lotus,Malaysian
2011,mclaren,McLaren,British
2011,mercedes,Mercedes,German
2011,red_bull,Red Bull,Austrian
2011,renault,Renault,French
2011,sauber,Sauber,Swiss
2011,toro_rosso,Toro Rosso,Italian
2011,virgin,Virgin,British
2011,williams,Williams,British
2012,caterham,Caterham,Malaysian
2012,ferrari,Ferrari,Italian
2012,force_india,Force India,Indian
2012,hrt,HRT,Spanish
2012,lotus_f1,Lotus F1,British
2012,marussia,Marussia,Russian
2012,mclaren,McLaren,British
2012,mercedes,Mercedes,German
2012,red_bull,Red Bull,Austrian
2012,sauber,Sauber,Swiss
2012,toro_rosso,Toro Rosso,Italian
2012,williams,Williams,British
2013,caterham,Caterham,Malaysian
2013,ferrari,Ferrari,Italian
2013,force_india,Force India,Indian
2013,lotus_f1,Lotus F1,British
2013,marussia,Marussia,Russian
2013,mclaren,McLaren,British
2013,mercedes,Mercedes,German
2013,red_bull,Red Bull,Austrian
2013,sauber,Sauber,Swiss
2013,toro_rosso,Toro Rosso,Italian
2013,williams,Williams,British
2014,caterham,Caterham,Malaysian
2014,ferrari,Ferrari,Italian
2014,force_india,Force India,Indian
2014,lotus_f1,Lotus F1,British
2014,marussia,Marussia,Russian
2014,mclaren,McLaren,British
2014,mercedes,Mercedes,German
2014,red_bull,Red Bull,Austrian
2014,sauber,Sauber,Swiss
2014,toro_rosso,Toro Rosso,Italian
2014,williams,Williams,British
2015,ferrari,Ferrari,Italian
2015,force_india,Force India,Indian
2015,lotus_f1,Lotus F1,British
2015,manor,Manor Marussia,British
2015,mclaren,McLaren,British
